height,midtermGrade,hoursOfStudy,label
170,78,12,pass
152,62,11,pass
150,70,12,pass
175,86,13,pass
176,55,10,pass
160,96,14,pass
173,25,7,fail
160,73,12,pass
155,11,6,fail
177,41,9,fail
155,38,8,fail
167,48,9,fail
157,23,7,fail
158,12,6,fail
156,98,14,pass
165,11,6,fail
159,30,8,fail
161,84,13,pass
156,58,10,pass
178,97,14,pass
165,13,6,fail
165,87,13,pass
173,1,5,fail
174,79,12,pass
160,62,11,pass
165,91,14,pass
169,24,7,fail
162,92,14,pass
173,98,14,pass
156,10,6,fail
158,18,6,fail
155,29,7,fail
168,56,10,pass
166,67,11,pass
160,87,13,pass
164,4,5,fail
155,77,12,pass
173,40,9,fail
174,86,13,pass
153,22,7,fail
162,10,6,fail
164,95,14,pass
161,38,8,fail
151,88,13,pass
168,51,10,pass
170,36,8,fail
165,66,11,pass
154,66,11,pass
163,32,8,fail
164,19,6,fail
159,15,6,fail
176,99,14,pass
179,2,5,fail
169,59,10,pass
179,91,14,pass
154,46,9,fail
171,37,8,fail
158,95,14,pass
166,63,11,pass
160,87,13,pass
151,46,9,fail
150,69,11,pass
176,67,11,pass
170,36,8,fail
155,9,5,fail
158,30,8,fail
179,5,5,fail
166,92,14,pass
153,15,6,fail
165,76,12,pass
176,12,6,fail
157,35,8,fail
150,62,11,pass
157,50,10,pass
157,88,13,pass
162,25,7,fail
164,16,6,fail
153,27,7,fail
154,26,7,fail
156,9,5,fail
150,88,13,pass
178,94,14,pass
175,68,11,pass
150,72,12,pass
159,14,6,fail
170,11,6,fail
165,78,12,pass
169,56,10,pass
170,43,9,fail
177,45,9,fail
174,23,7,fail
173,6,5,fail
157,29,7,fail
162,15,6,fail
160,39,8,fail
154,8,5,fail
155,67,11,pass
150,13,6,fail
168,37,8,fail
150,11,6,fail
